,nmin,minleaf,ntrees,nfeats,avg_accuracy
118,3,1,40,9,0.7243508771929825
119,3,1,40,10,0.7108771929824561
120,3,1,50,1,0.6976140350877192
121,3,1,50,2,0.7004210526315789
122,3,1,50,3,0.7216491228070175
123,3,1,50,4,0.7136140350877194
124,3,1,50,5,0.7243157894736841
125,3,1,50,6,0.6922105263157895
126,3,1,50,7,0.6923508771929825
127,3,1,50,8,0.7376140350877194
128,3,1,50,9,0.7295087719298246
129,3,1,50,10,0.7190526315789474
130,3,1,100,1,0.6817543859649122
131,3,1,100,2,0.7189473684210526
132,3,1,100,3,0.7188771929824561
133,3,1,100,4,0.724140350877193
134,3,1,100,5,0.7268771929824561
135,3,1,100,6,0.7162105263157895
136,3,1,100,7,0.7216140350877194
137,3,1,100,8,0.7401754385964912
138,3,1,100,9,0.7240701754385965
139,3,1,100,10,0.7136140350877194
140,3,1,150,1,0.7269122807017544
141,3,1,150,2,0.708280701754386
142,3,1,150,3,0.7296491228070175
143,3,1,150,4,0.7322105263157895
144,3,1,150,5,0.734842105263158
145,3,1,150,6,0.7242105263157895
146,3,1,150,7,0.7295087719298246
147,3,1,150,8,0.7401403508771931
148,3,1,150,9,0.7268771929824561
149,3,1,150,10,0.7560350877192984
150,3,1,200,1,0.7296140350877194
151,3,1,200,2,0.7109122807017544
152,3,1,200,3,0.7242456140350877
153,3,1,200,4,0.7268771929824561
154,3,1,200,5,0.721578947368421
155,3,1,200,6,0.7322456140350877
156,3,1,200,7,0.7214736842105264
157,3,1,200,8,0.7401754385964912
158,3,1,200,9,0.7162105263157895
159,3,1,200,10,0.729578947368421
160,4,1,10,1,0.6657894736842105
161,4,1,10,2,0.6710877192982456
162,4,1,10,3,0.6790877192982455
163,4,1,10,4,0.6976491228070175
164,4,1,10,5,0.6950175438596491
165,4,1,10,6,0.6844561403508772
166,4,1,10,7,0.6791228070175439
167,4,1,10,8,0.724421052631579
168,4,1,10,9,0.7056842105263158
169,4,1,10,10,0.6658947368421053
170,4,1,20,1,0.7056140350877194
171,4,1,20,2,0.6790877192982455
172,4,1,20,3,0.649859649122807
173,4,1,20,4,0.7056491228070175
174,4,1,20,5,0.7003157894736842
175,4,1,20,6,0.7082105263157896
176,4,1,20,7,0.7002105263157895
177,4,1,20,8,0.7242456140350877
178,4,1,20,9,0.7083157894736842
179,4,1,20,10,0.7108070175438597
180,4,1,30,1,0.6872631578947368
181,4,1,30,2,0.724140350877193
182,4,1,30,3,0.7162105263157894
183,4,1,30,4,0.6950526315789473
184,4,1,30,5,0.740280701754386
185,4,1,30,6,0.6869473684210526
186,4,1,30,7,0.732140350877193
187,4,1,30,8,0.7134385964912281
188,4,1,30,9,0.7084561403508773
189,4,1,30,10,0.7187719298245614
190,4,1,40,1,0.7109824561403508
191,4,1,40,2,0.7055789473684211
192,4,1,40,3,0.7217543859649121
193,4,1,40,4,0.7108771929824561
194,4,1,40,5,0.7110526315789474
195,4,1,40,6,0.7323157894736843
196,4,1,40,7,0.7109473684210528
197,4,1,40,8,0.7322456140350877
198,4,1,40,9,0.740140350877193
199,4,1,40,10,0.7268421052631578
